Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,73.519997,73.599998,70.349998,71.760002,66.083321,11191800
2020-04-14,73.690002,74.330002,72.660004,73.669998,67.842224,10912000
2020-04-15,72.010002,73.180000,70.709999,72.550003,66.810822,10642500
2020-04-16,73.110001,73.760002,71.349998,73.510002,67.694893,11946800
2020-04-17,76.620003,77.389999,74.970001,77.099998,71.000900,14268400
2020-04-20,76.019997,76.980003,75.080002,75.320000,69.361710,9684700
2020-04-21,73.400002,73.959999,71.739998,72.720001,66.967392,10345800
2020-04-22,74.550003,78.059998,74.430000,77.449997,71.323181,11347000
2020-04-23,77.330002,77.669998,74.260002,75.150002,69.205162,15513400
2020-04-24,75.750000,76.029999,74.209999,75.580002,69.601135,8456000
2020-04-27,76.680000,78.040001,76.540001,77.739998,71.590271,8258500
2020-04-28,78.669998,79.610001,76.959999,78.690002,72.465111,12801400
2020-04-29,78.180000,78.750000,76.720001,76.860001,70.779869,24575500
2020-04-30,76.830002,77.639999,75.190002,76.730003,70.660172,15186000
2020-05-01,74.900002,75.879997,73.209999,73.790001,67.952728,11216700
2020-05-04,72.580002,72.620003,71.260002,71.889999,66.203026,12921800
2020-05-05,74.959999,75.080002,72.889999,72.900002,67.133148,12976000
2020-05-06,73.769997,74.849998,72.860001,72.959999,67.188393,12740900
2020-05-07,73.809998,76.029999,73.370003,76.000000,70.383423,13360500
2020-05-08,77.250000,77.930000,75.760002,77.870003,72.115234,11917200
2020-05-11,76.620003,77.180000,75.800003,75.870003,70.263039,9004500
2020-05-12,76.000000,76.730003,74.339996,74.349998,68.855370,8549900
2020-05-13,74.459999,75.750000,72.919998,73.620003,68.179321,11532700
2020-05-14,72.320000,74.290001,70.650002,74.190002,68.707199,11932300
2020-05-15,72.809998,74.639999,72.669998,74.160004,68.679405,9489100
2020-05-18,76.860001,77.500000,76.199997,76.230003,70.596436,8903200
2020-05-19,76.400002,77.220001,75.760002,75.860001,70.253777,6484900
2020-05-20,77.230003,77.839996,76.519997,77.760002,72.013367,7790500
2020-05-21,78.599998,79.379997,77.889999,78.050003,72.281937,10312600
2020-05-22,77.900002,78.050003,76.519997,77.620003,71.883720,7653300
2020-05-26,79.599998,79.919998,77.580002,77.760002,72.013367,8422200
2020-05-27,78.980003,78.980003,77.389999,78.599998,72.791275,8245300
2020-05-28,78.639999,80.059998,77.930000,78.540001,72.735733,8331400
2020-05-29,78.620003,78.639999,77.260002,77.989998,72.226372,10043600
2020-06-01,77.660004,78.650002,76.769997,78.320000,72.531975,7922000
2020-06-02,77.970001,78.260002,76.790001,77.779999,72.031883,9521000
2020-06-03,78.449997,79.949997,78.300003,79.580002,73.698875,9956700
2020-06-04,79.309998,80.169998,78.470001,78.739998,72.920959,7667600
2020-06-05,80.330002,82.330002,79.970001,82.139999,76.069687,12030800
2020-06-08,83.080002,83.620003,82.180000,83.559998,77.384727,10229600
2020-06-09,82.620003,83.220001,81.760002,82.370003,76.282677,7999800
2020-06-10,79.879997,80.029999,78.199997,79.010002,73.170982,19683800
2020-06-11,75.750000,76.790001,72.150002,72.570000,67.206917,26422200
2020-06-12,75.000000,76.720001,73.809998,76.379997,70.735352,18529800
2020-06-15,74.300003,77.910004,74.080002,76.959999,71.272499,14644700
2020-06-16,78.790001,78.940002,76.389999,77.839996,72.087456,10890100
2020-06-17,78.070000,78.290001,76.680000,77.099998,71.402138,6906700
2020-06-18,76.720001,76.790001,75.800003,76.309998,70.670525,8486000
2020-06-19,77.029999,77.379997,74.879997,75.400002,69.827774,12538600
2020-06-22,74.900002,75.650002,73.919998,75.400002,69.827774,8238600
2020-06-23,76.330002,76.370003,75.070000,75.489998,69.911133,8076600
2020-06-24,74.900002,74.919998,72.000000,73.639999,68.197838,12306400
2020-06-25,73.220001,74.110001,72.169998,73.849998,68.392319,8624800
2020-06-26,73.629997,73.769997,71.250000,71.570000,66.280807,17627800
2020-06-29,71.410004,73.500000,71.059998,73.480003,68.049667,8653000
2020-06-30,73.580002,73.879997,72.809998,73.589996,68.151535,11324000
2020-07-01,74.000000,74.690002,73.379997,74.029999,68.559021,6750000
2020-07-02,75.040001,75.089996,73.639999,73.779999,68.327492,6544400
2020-07-06,74.930000,75.480003,74.160004,75.440002,69.864815,7235300
2020-07-07,75.129997,75.230003,74.000000,74.250000,68.762749,7515100
2020-07-08,74.070000,74.500000,73.330002,74.139999,68.660896,7346200
2020-07-09,73.730003,74.220001,71.930000,73.570000,68.133018,9618200
2020-07-10,73.000000,74.559998,72.739998,74.290001,68.799812,7524200
2020-07-13,74.559998,74.839996,72.489998,72.650002,67.280998,9464500
2020-07-14,72.000000,72.970001,71.820000,72.730003,67.355087,8780900
2020-07-15,74.459999,75.809998,73.959999,75.610001,70.022263,10300700
2020-07-16,74.900002,75.139999,73.680000,74.389999,68.892403,6649300
2020-07-17,74.430000,74.550003,73.209999,74.160004,68.679405,6087500
2020-07-20,74.160004,75.220001,73.629997,74.959999,69.420296,8832700
2020-07-21,75.779999,76.800003,75.269997,75.440002,69.864815,10637500
2020-07-22,75.519997,77.330002,75.120003,77.239998,71.531799,9213100
2020-07-23,76.879997,77.070000,74.900002,75.360001,69.790733,7795100
2020-07-24,75.279999,76.000000,75.110001,75.779999,70.179688,5673400
2020-07-27,75.889999,76.709999,75.540001,76.459999,70.809425,6771100
2020-07-28,76.300003,76.389999,74.559998,74.639999,69.123940,12273400
2020-07-29,77.559998,78.489998,76.900002,77.419998,71.698494,15261100
2020-07-30,76.629997,76.980003,75.400002,76.639999,70.976135,7889800
2020-07-31,76.239998,76.540001,75.480003,76.529999,70.874260,7423800
2020-08-03,76.480003,76.599998,75.440002,75.500000,69.920380,7138300
2020-08-04,75.370003,75.489998,74.760002,75.129997,69.577713,12792400
2020-08-05,75.349998,75.989998,75.330002,75.779999,70.179688,7780800
2020-08-06,75.199997,75.919998,74.940002,75.660004,70.449738,6764800
2020-08-07,75.480003,75.930000,75.209999,75.790001,70.570763,6569300
2020-08-10,75.820000,77.669998,75.809998,77.470001,72.135078,6604300
2020-08-11,78.269997,79.980003,78.000000,78.870003,73.438675,10238500
2020-08-12,79.589996,79.690002,78.669998,79.290001,73.829742,5378000
2020-08-13,78.919998,79.639999,78.839996,79.019997,73.578331,4383400
2020-08-14,78.540001,78.930000,78.019997,78.370003,72.973099,3771300
2020-08-17,78.599998,78.959999,78.120003,78.949997,73.513145,5360400
2020-08-18,79.150002,79.360001,78.349998,78.989998,73.550400,5272700
2020-08-19,79.180000,79.389999,77.430000,77.629997,72.284042,6840600
2020-08-20,77.029999,77.650002,76.459999,77.220001,71.902298,5099500
2020-08-21,76.940002,77.269997,76.690002,77.070000,71.762604,5594100
2020-08-24,77.709999,79.139999,77.250000,78.680000,73.261742,5867400
2020-08-25,80.059998,83.070000,79.790001,82.720001,77.023537,17659500
2020-08-26,82.419998,82.750000,81.879997,82.410004,76.734879,7934300
2020-08-27,82.750000,83.639999,82.500000,83.410004,77.666023,9099200
2020-08-28,83.790001,85.290001,83.430000,85.000000,79.146523,9303900
2020-08-31,84.629997,85.360001,84.029999,84.470001,78.653023,6401600
2020-09-01,84.699997,86.089996,84.230003,86.050003,80.124214,8166100
2020-09-02,86.510002,88.750000,86.290001,88.349998,82.265839,11378900
2020-09-03,88.599998,88.980003,85.690002,86.480003,80.524597,11036600
2020-09-04,87.089996,87.779999,85.309998,86.269997,80.329071,10349400
2020-09-08,85.269997,87.580002,84.769997,85.410004,79.528290,11083100
2020-09-09,85.930000,86.830002,84.459999,85.860001,79.947296,6928700
2020-09-10,85.800003,87.070000,84.529999,84.879997,79.034790,7552000
2020-09-11,84.949997,85.849998,84.150002,85.269997,79.397919,7103300
2020-09-14,85.750000,87.059998,85.639999,86.629997,80.664276,5535800
2020-09-15,87.180000,88.250000,87.169998,87.709999,81.669907,8361900
2020-09-16,88.000000,89.430000,87.750000,88.379997,82.293762,7146400
2020-09-17,87.050003,87.320000,85.360001,86.750000,80.776016,7386600
2020-09-18,86.809998,87.239998,84.599998,84.949997,79.099968,10113400
2020-09-21,82.860001,83.949997,81.750000,83.889999,78.112961,7188800
2020-09-22,84.050003,84.389999,83.180000,83.949997,78.168831,4465000
2020-09-23,84.379997,84.900002,82.820000,82.989998,77.274940,6414700
2020-09-24,82.629997,84.139999,81.919998,83.040001,77.321510,4881500
2020-09-25,82.529999,84.690002,82.220001,84.300003,78.494736,5981500
2020-09-28,85.519997,86.239998,84.989998,86.070000,80.142830,5976200
2020-09-29,86.250000,86.250000,84.629997,84.800003,78.960312,4064000
2020-09-30,86.629997,87.160004,85.470001,85.919998,80.003159,10134400
2020-10-01,87.040001,87.449997,86.199997,86.739998,80.766701,7241200
2020-10-02,85.150002,87.129997,85.089996,86.570000,80.608391,5602300
2020-10-05,87.269997,88.680000,87.199997,88.470001,82.377556,7004800
2020-10-06,88.650002,89.279999,86.800003,87.010002,81.018112,7951100
2020-10-07,87.820000,88.980003,87.440002,88.449997,82.358955,5179300
2020-10-08,88.459999,89.610001,88.410004,89.529999,83.364555,4958800
2020-10-09,89.800003,90.330002,89.580002,90.010002,83.811531,6197700
2020-10-12,90.459999,91.099998,89.930000,90.779999,84.528481,5909100
2020-10-13,90.580002,90.849998,89.769997,90.160004,83.951202,5732000
2020-10-14,90.169998,90.599998,88.559998,89.309998,83.159714,4760700
2020-10-15,88.160004,88.870003,87.669998,88.830002,82.712761,5002200
2020-10-16,89.389999,89.629997,88.440002,88.519997,82.424118,4721300
2020-10-19,88.699997,89.570000,87.360001,87.599998,81.567474,5426600
2020-10-20,88.680000,89.720001,88.040001,88.510002,82.414810,4939700
2020-10-21,88.379997,89.160004,88.190002,88.269997,82.191345,4119200
2020-10-22,88.019997,89.379997,87.699997,89.360001,83.206268,4257800
2020-10-23,89.800003,90.959999,89.440002,90.800003,84.547127,7811500
2020-10-26,90.029999,91.129997,88.650002,89.660004,83.485619,7756400
2020-10-27,89.480003,90.349998,89.169998,90.050003,83.848755,8027500
2020-10-28,88.650002,88.949997,86.610001,87.169998,81.167099,12738800
2020-10-29,87.169998,89.110001,86.610001,88.300003,82.219276,8440000
2020-10-30,87.750000,88.389999,85.629997,86.959999,80.971565,11400700
2020-11-02,87.540001,87.769997,85.449997,85.970001,80.049713,8904900
2020-11-03,86.779999,89.059998,86.180000,88.389999,82.303078,6910400
2020-11-04,88.900002,91.290001,88.739998,89.790001,83.606651,10509400
2020-11-05,90.690002,91.160004,89.900002,90.620003,84.379509,6169700
2020-11-06,90.150002,91.199997,89.779999,90.650002,84.407440,6626100
2020-11-09,97.320000,97.650002,95.639999,95.879997,89.277275,16225800
2020-11-10,93.739998,95.269997,93.139999,93.919998,87.864639,10474700
2020-11-11,94.110001,95.830002,94.019997,95.040001,88.912430,8296500
2020-11-12,94.660004,94.760002,92.660004,93.529999,87.499786,7058400
2020-11-13,94.379997,95.589996,93.699997,95.559998,89.398903,5516100
2020-11-16,96.790001,97.809998,96.019997,97.779999,91.475777,9371300
2020-11-17,97.209999,98.779999,96.809998,98.599998,92.242905,8722300
2020-11-18,98.629997,99.330002,97.910004,97.910004,91.597389,6039500
2020-11-19,97.239998,97.919998,96.860001,97.760002,91.457062,4252300
2020-11-20,97.419998,97.540001,96.949997,97.010002,90.755409,4609700
2020-11-23,97.620003,97.860001,96.419998,96.879997,90.633789,4803200
2020-11-24,97.510002,98.720001,97.400002,98.300003,91.962234,6319900
2020-11-25,98.500000,98.540001,97.940002,98.199997,91.868683,4027100
2020-11-27,98.480003,98.980003,98.279999,98.660004,92.299049,2169700
2020-11-30,98.199997,98.290001,96.959999,98.019997,91.700294,5197300
2020-12-01,99.000000,99.260002,98.250000,98.820000,92.448723,4970000
2020-12-02,98.510002,99.040001,98.209999,98.910004,92.532913,3377900
2020-12-03,99.019997,101.000000,98.970001,100.110001,93.655548,6264100
2020-12-04,101.349998,102.940002,101.070000,102.279999,95.685638,6952700
2020-12-07,102.010002,102.220001,100.690002,101.410004,94.871742,4514800
2020-12-08,100.370003,101.570000,100.010002,101.209999,94.684616,3911300
2020-12-09,101.940002,102.209999,100.099998,100.400002,93.926857,6629900
2020-12-10,103.510002,106.089996,102.750000,105.389999,98.595116,12939200
2020-12-11,104.410004,104.779999,102.330002,103.000000,96.359215,6262600
2020-12-14,103.830002,104.709999,103.250000,103.320000,96.658592,5156200
2020-12-15,104.239998,104.860001,103.779999,104.180000,97.463127,5195200
2020-12-16,104.099998,104.800003,102.720001,103.269997,96.611809,6409300
2020-12-17,103.550003,104.040001,102.610001,103.209999,96.555687,4535700
